101.21,-1,769,488
101.21,-1,842,629
101.21,-1,839,473
101.21,-1,960,649
101.21,-1,774,488
101.21,254,769,485
101.21,254,848,638
101.21,254,821,478
101.21,254,956,637
101.21,254,776,502
101.21,254,923,569
101.21,254,936,584
101.21,254,834,620
101.22,-1,844,483
101.22,-1,770,512
101.22,-1,923,563
101.22,-1,864,646
101.22,-1,803,453
101.22,-1,839,473
101.21,253,960,649
101.21,253,921,557
101.21,253,862,651
101.21,253,799,469
101.21,253,953,634
101.21,253,774,524
101.21,253,776,502
101.21,-1,923,569
101.21,-1,794,470
101.21,-1,954,631
101.21,-1,782,534
101.21,-1,907,535
101.21,-1,879,641
101.21,-1,864,646
101.21,253,803,453
101.21,253,777,539
101.21,253,904,528
101.21,253,889,656
101.21,253,790,466
101.21,253,959,621
101.21,253,953,634
101.21,253,774,524
101.21,-1,918,548
101.21,-1,788,465
101.21,-1,954,621
101.21,-1,780,556
101.21,-1,898,508
101.21,-1,907,535
101.21,254,879,641
101.21,254,956,613
101.21,254,790,564
101.21,254,902,503
101.21,254,918,660
101.21,254,776,482
101.21,254,790,466
101.21,-1,959,621
101.21,-1,892,498
101.21,-1,925,657
101.21,-1,777,472
101.21,-1,949,614
101.21,-1,814,568
101.21,-1,780,556
101.22,253,898,508
101.22,253,785,475
101.22,253,953,604
101.22,253,805,584
101.22,253,877,488
101.22,253,935,641
101.22,253,918,660
101.22,-1,776,482
101.22,-1,806,592
101.22,-1,874,486
101.22,-1,940,654
101.22,-1,774,479
101.22,-1,946,593
101.22,-1,949,614
101.22,254,814,568
101.22,254,947,657
101.22,254,772,482
101.22,254,942,596
101.22,254,822,606
101.22,254,866,484
101.22,254,877,488
101.21,-1,935,641
101.21,-1,935,589
101.21,-1,819,621
101.21,-1,856,482
101.21,-1,955,654
101.21,-1,767,481
101.21,-1,774,479
101.21,255,946,593
101.21,255,845,474
101.21,255,955,645
101.21,255,770,494
101.21,255,938,585
101.21,255,850,625
101.21,255,822,606
101.21,255,866,484
101.21,-1,955,673
101.21,-1,928,578
101.21,-1,847,635
101.21,-1,824,472
101.21,-1,959,651
101.21,-1,955,654
101.21,254,767,481
101.21,254,852,648
101.21,254,815,472
101.21,254,958,639
101.21,254,768,513
101.21,254,923,579
101.21,254,938,585
101.22,-1,850,625
101.22,-1,958,639
101.22,-1,783,521
101.22,-1,913,558
101.22,-1,873,647
101.22,-1,799,466
101.22,-1,824,472
101.21,254,959,651
101.21,254,909,547
101.21,254,874,652
101.21,254,794,469
101.21,254,960,630
101.21,254,778,540
101.21,254,768,513
101.21,-1,923,579
101.21,-1,791,468
101.21,-1,952,627
101.21,-1,778,544
101.21,-1,908,529
101.21,-1,905,656
101.21,-1,873,647
101.21,254,799,466
101.21,254,780,548
101.21,254,909,516
101.21,254,899,653
101.21,254,783,467
101.21,254,950,634
101.21,254,960,630
101.21,-1,778,540
101.21,-1,902,657
101.21,-1,790,462
101.21,-1,950,618
101.21,-1,788,562
101.21,-1,895,496
101.21,-1,908,529
101.22,254,905,656
101.22,254,951,615
101.22,254,792,568
101.22,254,892,502
101.22,254,922,661
101.22,254,779,486
101.22,254,783,467
101.21,-1,950,634
101.21,-1,887,490
101.21,-1,930,656
101.21,-1,783,470
101.21,-1,944,605
101.21,-1,813,577
101.21,-1,788,562
101.22,254,895,496
101.22,254,769,478
101.22,254,948,602
101.22,254,813,586
101.22,254,872,494
101.22,254,947,678
101.22,254,922,661
101.22,-1,779,486
101.22,-1,815,601
101.22,-1,868,490
101.22,-1,947,649
101.22,-1,770,481
101.22,-1,945,596
101.22,-1,944,605
101.22,253,813,577
101.22,253,950,657
101.22,253,775,485
101.22,253,938,585
101.22,253,830,613
101.22,253,854,492
101.22,253,872,494
